Sentence,Rubric,Score,FeedbackCode,Avg_Word_Length,Avg_Sentence_Length,Word_Count,Unq_Word_Count,Sentence_Count,Avg_Readability_Index,TokenizedSentences,TokenizedText,Grade,Outcome,Rubric_Encode,Grade_Encode
"Also, the recording was a presentation of the research.",Sensemaking 1,76.67,497,11,4.27,11,6,1,53.88,"['also', ',', 'recording', 'presentation', 'research', '.']","also , recording presentation research .",D,Pass,6,1
There are many areas for improvement in your assignment. My main recommendations to improve include: potential solutions could have been better explained.,Impact 1,76.67,497,25,5.32,25,15,2,43.39,"['many', 'areas', 'improvement', 'assignment', '.', 'main', 'recommendations', 'improve', 'include', ':', 'potential', 'solutions', 'could', 'better', 'explained', '.']",many areas improvement assignment . main recommendations improve include : potential solutions could better explained .,D,Pass,3,1
The description of the technology used for designing the product could have been elaborated more.,Sensemaking 1,76.67,497,16,5.19,16,8,1,47.79,"['description', 'technology', 'used', 'designing', 'product', 'could', 'elaborated', '.']",description technology used designing product could elaborated .,D,Pass,6,1
"For the patent section, it is not mentioned clearly whether the product should be applied for a patent or not.",Sensemaking 1,76.67,497,22,4.14,22,9,1,76.56,"['patent', 'section', ',', 'mentioned', 'clearly', 'whether', 'product', 'applied', 'patent', '.']","patent section , mentioned clearly whether product applied patent .",D,Pass,6,1
"Lastly, the investigation of Prior art is crucial to the impact declaration, and a link is needed here.",Sensemaking 1,76.67,497,21,4.1,21,11,1,44.75,"['lastly', ',', 'investigation', 'prior', 'art', 'crucial', 'impact', 'declaration', ',', 'link', 'needed', '.']","lastly , investigation prior art crucial impact declaration , link needed .",D,Pass,6,1
The impact of the product on the investors was not clear. It would have been a good read if details were included like what the product can do to make investors successful.,Sensemaking 1,76.67,497,34,4.15,34,13,2,80.62,"['impact', 'product', 'investors', 'clear', '.', 'would', 'good', 'read', 'details', 'included', 'like', 'product', 'make', 'investors', 'successful', '.']",impact product investors clear . would good read details included like product make investors successful .,D,Pass,6,1
"You received 39 marks for Week 10 and 11 and 7 marks for Week 12"" ",Sensemaking 2,76.67,497,16,3.25,16,9,1,98.55,"['received', '39', 'marks', 'week', '10', '11', '7', 'marks', 'week', '12', ""''""]",received 39 marks week 10 11 7 marks week 12 '',D,Pass,7,1
"In week 7 assignment, you have correctly coded for all the required calculations, The MATLAB command scripts are complete too with very clear annotations explaining the steps by steps.",Sensemaking 1,71.67,498,32,4.88,32,17,1,42.04,"['week', '7', 'assignment', ',', 'correctly', 'coded', 'required', 'calculations', ',', 'matlab', 'command', 'scripts', 'complete', 'clear', 'annotations', 'explaining', 'steps', 'steps', '.']","week 7 assignment , correctly coded required calculations , matlab command scripts complete clear annotations explaining steps steps .",D,Pass,6,1
"Only one boxplot with annotation was required, but good effort overall.",Sensemaking 1,71.67,498,13,4.69,13,9,1,51.85,"['one', 'boxplot', 'annotation', 'required', ',', 'good', 'effort', 'overall', '.']","one boxplot annotation required , good effort overall .",D,Pass,6,1
"Great outline for a plan, there are many areas of improvement for your assignment, the hypothesis can be clearer here. Such as please narrow down the topic to one unit, the confounding variables are quite good also!",Sensemaking 1,71.67,498,42,4.26,42,22,2,69.62,"['great', 'outline', 'plan', ',', 'many', 'areas', 'improvement', 'assignment', ',', 'hypothesis', 'clearer', '.', 'please', 'narrow', 'topic', 'one', 'unit', ',', 'confounding', 'variables', 'quite', 'good', 'also', '!']","great outline plan , many areas improvement assignment , hypothesis clearer . please narrow topic one unit , confounding variables quite good also !",D,Pass,6,1
Good work in identifying a statistical test.,Sensemaking 1,71.67,498,8,4.75,8,6,1,38.99,"['good', 'work', 'identifying', 'statistical', 'test', '.']",good work identifying statistical test .,D,Pass,6,1
Thanks for your submission.,Agency 3,71.67,498,5,4.8,5,3,1,75.88,"['thanks', 'submission', '.']",thanks submission .,D,Pass,2,1
The working out for confusion matrix is clear and the grid is correct. However further working out is needed on the process of obtaining the values in the grid for question 1.,Sensemaking 1,71.67,498,34,4.24,34,14,2,72.16,"['working', 'confusion', 'matrix', 'clear', 'grid', 'correct', '.', 'however', 'working', 'needed', 'process', 'obtaining', 'values', 'grid', 'question', '1', '.']",working confusion matrix clear grid correct . however working needed process obtaining values grid question 1 .,D,Pass,6,1
Question 3 is not present here please check assignment requirements.,Sensemaking 1,71.67,498,11,5.36,11,8,1,69.79,"['question', '3', 'present', 'please', 'check', 'assignment', 'requirements', '.']",question 3 present please check assignment requirements .,D,Pass,6,1
All the other solutions for your analysis are correct.,Sensemaking 1,71.67,498,10,4.6,10,4,1,53.88,"['solutions', 'analysis', 'correct', '.']",solutions analysis correct .,D,Pass,6,1
"You received 16 marks for Week 7, 17 marks for Week 8 and 10 marks for Week 9"" ",Sensemaking 2,71.67,498,20,3.1,20,11,1,95.51,"['received', '16', 'marks', 'week', '7', ',', '17', 'marks', 'week', '8', '10', 'marks', 'week', '9', ""''""]","received 16 marks week 7 , 17 marks week 8 10 marks week 9 ''",D,Pass,7,1
"For week 10 and 11, there are too many static images used in the video with a lack of suitable transitions between them, which makes the content less likely to be attractive to the audience, such as 00:50.",Sensemaking 1,68.33,499,42,4.0,42,20,1,58.29,"['week', '10', '11', ',', 'many', 'static', 'images', 'used', 'video', 'lack', 'suitable', 'transitions', ',', 'makes', 'content', 'less', 'likely', 'attractive', 'audience', ',', '00:50', '.']","week 10 11 , many static images used video lack suitable transitions , makes content less likely attractive audience , 00:50 .",C,Pass,6,0
It would be better if you could add more live-action content in the videos and think of the transitions between beats.,Impact 1,68.33,499,22,4.45,22,11,1,75.54,"['would', 'better', 'could', 'add', 'live-action', 'content', 'videos', 'think', 'transitions', 'beats', '.']",would better could add live-action content videos think transitions beats .,C,Pass,3,0
"To convey a meaning amount of content, the length of each beat should be around 10 to 15 seconds. Thus, a 90 second video should be 6 ~ 9 beats ideally. You have made 5 beats. The 1st beat is 25 seconds, the 3rd beat is 20 seconds, and the 4th beat is 25 seconds.",Sensemaking 1,68.33,499,63,3.32,63,28,4,91.61,"['convey', 'meaning', 'amount', 'content', ',', 'length', 'beat', 'around', '10', '15', 'seconds', '.', 'thus', ',', '90', 'second', 'video', '6', '~', '9', 'beats', 'ideally', '.', 'made', '5', 'beats', '.', '1st', 'beat', '25', 'seconds', ',', '3rd', 'beat', '20', 'seconds', ',', '4th', 'beat', '25', 'seconds', '.']","convey meaning amount content , length beat around 10 15 seconds . thus , 90 second video 6 ~ 9 beats ideally . made 5 beats . 1st beat 25 seconds , 3rd beat 20 seconds , 4th beat 25 seconds .",C,Pass,6,0
"For week 12, the summary does not cover all aspects of the work you selected. A summary should clearly describe what the work is.",Sensemaking 1,68.33,499,27,3.93,27,11,2,76.22,"['week', '12', ',', 'summary', 'cover', 'aspects', 'work', 'selected', '.', 'summary', 'clearly', 'describe', 'work', '.']","week 12 , summary cover aspects work selected . summary clearly describe work .",C,Pass,6,0
Abstract is normally the summary written by the authors and the summary of this impact declaration should be a summary of the abstract without using too many terms and jargon.,Sensemaking 1,68.33,499,31,4.71,31,13,1,41.03,"['abstract', 'normally', 'summary', 'written', 'authors', 'summary', 'impact', 'declaration', 'summary', 'abstract', 'without', 'using', 'many', 'terms', 'jargon', '.']",abstract normally summary written authors summary impact declaration summary abstract without using many terms jargon .,C,Pass,6,0
"Although you have mentioned the problem, but it is quite general and not clearly articulated with details. You need to define this problem firstly and then discuss further with explanations why the problem is a significant research problem that needs to be tackled.",Sensemaking 1,68.33,499,46,4.85,46,19,2,49.65,"['although', 'mentioned', 'problem', ',', 'quite', 'general', 'clearly', 'articulated', 'details', '.', 'need', 'define', 'problem', 'firstly', 'discuss', 'explanations', 'problem', 'significant', 'research', 'problem', 'needs', 'tackled', '.']","although mentioned problem , quite general clearly articulated details . need define problem firstly discuss explanations problem significant research problem needs tackled .",C,Pass,6,0
One-sentence answer could be further explained.,Sensemaking 1,68.33,499,7,6.0,7,5,1,48.47,"['one-sentence', 'answer', 'could', 'explained', '.']",one-sentence answer could explained .,C,Pass,6,0
"Also, you add one prior art, but its not made clear why this is relevant.",Sensemaking 1,68.33,499,18,3.28,18,10,1,81.63,"['also', ',', 'add', 'one', 'prior', 'art', ',', 'made', 'clear', 'relevant', '.']","also , add one prior art , made clear relevant .",C,Pass,6,0
"You mentioned “Lastly, physical or psychological harm or abuse is also an important ethical issue.” physical or psychological harm or abuse is an ethical dimension, not an ethical issue.",Sensemaking 1,80.0,500,34,4.65,34,16,1,16.66,"['mentioned', '“', 'lastly', ',', 'physical', 'psychological', 'harm', 'abuse', 'also', 'important', 'ethical', 'issue.', '”', 'physical', 'psychological', 'harm', 'abuse', 'ethical', 'dimension', ',', 'ethical', 'issue', '.']","mentioned “ lastly , physical psychological harm abuse also important ethical issue. ” physical psychological harm abuse ethical dimension , ethical issue .",HD,Pass,6,2
Didn’t distinguish issues from dimensions It’s hard to tell which one is the issue and which one is the dimension.,Sensemaking 1,80.0,500,25,3.8,25,10,1,59.64,"['’', 'distinguish', 'issues', 'dimensions', '’', 'hard', 'tell', 'one', 'issue', 'one', 'dimension', '.']",’ distinguish issues dimensions ’ hard tell one issue one dimension .,HD,Pass,6,2
Ethical Issues are specific ethical issues related to specific research projects and dimensions are the ethical standards that researchers should follow in order to avoid potential ethical issues and protect research participants.,Sensemaking 1,80.0,500,33,6.03,33,16,1,5.16,"['ethical', 'issues', 'specific', 'ethical', 'issues', 'related', 'specific', 'research', 'projects', 'dimensions', 'ethical', 'standards', 'researchers', 'follow', 'order', 'avoid', 'potential', 'ethical', 'issues', 'protect', 'research', 'participants', '.']",ethical issues specific ethical issues related specific research projects dimensions ethical standards researchers follow order avoid potential ethical issues protect research participants .,HD,Pass,6,2
"To improve your work, each ethical issue should be discussed at the beginning of each paragraph and then you could state which dimensions is associated with, so that readers could tell which one is an issue and which one is the associated dimension.",Impact 1,80.0,500,46,4.5,46,17,1,36.29,"['improve', 'work', ',', 'ethical', 'issue', 'discussed', 'beginning', 'paragraph', 'could', 'state', 'dimensions', 'associated', ',', 'readers', 'could', 'tell', 'one', 'issue', 'one', 'associated', 'dimension', '.']","improve work , ethical issue discussed beginning paragraph could state dimensions associated , readers could tell one issue one associated dimension .",HD,Pass,3,2
"Also, please use the words “dimension” and “issues” explicitly when describing them so that readers won’t be confused.",Impact 1,80.0,500,26,3.88,26,15,1,53.21,"['also', ',', 'please', 'use', 'words', '“', 'dimension', '”', '“', 'issues', '”', 'explicitly', 'describing', 'readers', '’', 'confused', '.']","also , please use words “ dimension ” “ issues ” explicitly describing readers ’ confused .",HD,Pass,3,2
"You mentioned """"For the content, this paper is a summary of speech assessments carried out on children with autism and outlines design guidelines to researchers for speech assessment of children with autism.""",Sensemaking 1,80.0,500,37,4.86,37,18,1,47.46,"['mentioned', '``', ""''"", 'content', ',', 'paper', 'summary', 'speech', 'assessments', 'carried', 'children', 'autism', 'outlines', 'design', 'guidelines', 'researchers', 'speech', 'assessment', 'children', 'autism', '.', ""''""]","mentioned `` '' content , paper summary speech assessments carried children autism outlines design guidelines researchers speech assessment children autism . ''",HD,Pass,6,2
""" You have summarised the abstract of all papers only partially, and the summary should have contained more details of the paper you selected; By reading your summary, readers still have little information about what these papers are and the relevance with the paper in question.",Sensemaking 1,80.0,500,50,4.7,50,20,1,25.8,"['``', 'summarised', 'abstract', 'papers', 'partially', ',', 'summary', 'contained', 'details', 'paper', 'selected', ';', 'reading', 'summary', ',', 'readers', 'still', 'little', 'information', 'papers', 'relevance', 'paper', 'question', '.']","`` summarised abstract papers partially , summary contained details paper selected ; reading summary , readers still little information papers relevance paper question .",HD,Pass,6,2
"You received 17 marks for Week 1 and 15.5 marks for Week 3."" ",Sensemaking 2,80.0,500,15,3.27,15,9,1,92.12,"['received', '17', 'marks', 'week', '1', '15.5', 'marks', 'week', '3', '.', ""''""]",received 17 marks week 1 15.5 marks week 3 . '',HD,Pass,7,2
"For week 7, the formulas to calculate standard deviation and interquartile range are mentioned, but the value for sample standard population was incorrect.",Sensemaking 1,86.67,501,26,5.12,26,15,1,31.21,"['week', '7', ',', 'formulas', 'calculate', 'standard', 'deviation', 'interquartile', 'range', 'mentioned', ',', 'value', 'sample', 'standard', 'population', 'incorrect', '.']","week 7 , formulas calculate standard deviation interquartile range mentioned , value sample standard population incorrect .",HD,Pass,6,2
"Also, the boxplot was clearly visible, but annotations were missing.",Sensemaking 1,86.67,501,13,4.54,13,8,1,35.95,"['also', ',', 'boxplot', 'clearly', 'visible', ',', 'annotations', 'missing', '.']","also , boxplot clearly visible , annotations missing .",HD,Pass,6,2
the data collection process could have been better.,Sensemaking 1,86.67,501,9,4.89,9,6,1,71.82,"['data', 'collection', 'process', 'could', 'better', '.']",data collection process could better .,HD,Pass,6,2
"For week 9, The confusion computed was correct, but the value for accuracy was incorrect.",Sensemaking 1,86.67,501,18,4.17,18,10,1,47.79,"['week', '9', ',', 'confusion', 'computed', 'correct', ',', 'value', 'accuracy', 'incorrect', '.']","week 9 , confusion computed correct , value accuracy incorrect .",HD,Pass,6,2
"Also, the confusion matrix for only bottles was correct, and the values for recall and f1-score were incorrect.",Sensemaking 1,86.67,501,21,4.48,21,11,1,44.75,"['also', ',', 'confusion', 'matrix', 'bottles', 'correct', ',', 'values', 'recall', 'f1-score', 'incorrect', '.']","also , confusion matrix bottles correct , values recall f1-score incorrect .",HD,Pass,6,2
"The formula for precision was there, but no answer was displayed.",Sensemaking 1,86.67,501,13,4.23,13,6,1,68.77,"['formula', 'precision', ',', 'answer', 'displayed', '.']","formula precision , answer displayed .",HD,Pass,6,2
"You received 15 marks for Week 7, 18 marks for Week 8 and 19 marks for Week 9"" ",Sensemaking 2,86.67,501,20,3.1,20,11,1,95.51,"['received', '15', 'marks', 'week', '7', ',', '18', 'marks', 'week', '8', '19', 'marks', 'week', '9', ""''""]","received 15 marks week 7 , 18 marks week 8 19 marks week 9 ''",HD,Pass,7,2
"Great work in creating the box plot, please make sure to add numbers within the graph also.",Sensemaking 1,90.0,502,19,3.95,19,15,1,79.6,"['great', 'work', 'creating', 'box', 'plot', ',', 'please', 'make', 'sure', 'add', 'numbers', 'within', 'graph', 'also', '.']","great work creating box plot , please make sure add numbers within graph also .",HD,Pass,6,2
Good work in identifying the case scenario this had excellent detail.,Sensemaking 1,90.0,502,12,4.92,12,8,1,60.31,"['good', 'work', 'identifying', 'case', 'scenario', 'excellent', 'detail', '.']",good work identifying case scenario excellent detail .,HD,Pass,6,2
Key improvement is further revision is needed on your variables for the research.,Sensemaking 1,90.0,502,14,4.93,14,7,1,58.28,"['key', 'improvement', 'revision', 'needed', 'variables', 'research', '.']",key improvement revision needed variables research .,HD,Pass,6,2
"Please also add more detail in choosing the t-test and ANOVA, with greater analysis on your chosen test and assumptions.",Impact 1,90.0,502,22,4.59,22,14,1,59.64,"['please', 'also', 'add', 'detail', 'choosing', 't-test', 'anova', ',', 'greater', 'analysis', 'chosen', 'test', 'assumptions', '.']","please also add detail choosing t-test anova , greater analysis chosen test assumptions .",HD,Pass,3,2
Also please make sure to spell check your work before submission.,Impact 3,90.0,502,12,4.58,12,9,1,77.23,"['also', 'please', 'make', 'sure', 'spell', 'check', 'work', 'submission', '.']",also please make sure spell check work submission .,HD,Pass,5,2
The working out for confusion matrix is clear and the grid is correct. However further working out is needed on the process of obtaining the values in the grid for question,Sensemaking 1,90.0,502,32,4.44,32,13,2,64.2,"['working', 'confusion', 'matrix', 'clear', 'grid', 'correct', '.', 'however', 'working', 'needed', 'process', 'obtaining', 'values', 'grid', 'question']",working confusion matrix clear grid correct . however working needed process obtaining values grid question,HD,Pass,6,2
1. All the other solutions for your analysis are correct.,Sensemaking 1,90.0,502,12,4.0,12,5,2,61.33,"['1', '.', 'solutions', 'analysis', 'correct', '.']",1 . solutions analysis correct .,HD,Pass,6,2
"You received 20 marks for Week 7, 16 marks for Week 8 and 18 marks for Week 9"" ",Sensemaking 2,90.0,502,20,3.1,20,11,1,95.51,"['received', '20', 'marks', 'week', '7', ',', '16', 'marks', 'week', '8', '18', 'marks', 'week', '9', ""''""]","received 20 marks week 7 , 16 marks week 8 18 marks week 9 ''",HD,Pass,7,2
A total of four questions were identified in task 1.,Sensemaking 1,78.33,503,11,3.91,11,7,1,78.25,"['total', 'four', 'questions', 'identified', 'task', '1', '.']",total four questions identified task 1 .,D,Pass,6,1
Issues identified for each question were highlighted and some suggestions to improve the questions were made.,Sensemaking 1,78.33,503,17,5.53,17,9,1,55.24,"['issues', 'identified', 'question', 'highlighted', 'suggestions', 'improve', 'questions', 'made', '.']",issues identified question highlighted suggestions improve questions made .,D,Pass,6,1
Issues identified were clear and but not well-described.,Sensemaking 1,78.33,503,9,5.44,9,5,1,71.82,"['issues', 'identified', 'clear', 'well-described', '.']",issues identified clear well-described .,D,Pass,6,1
"My suggestion is that for the suggested improvements, it would be good if you can provide a reworded question to replace each of the problematic questions you identified. For example, you could further work on Q11 and Q13.",Impact 1,78.33,503,42,4.4,42,19,2,60.65,"['suggestion', 'suggested', 'improvements', ',', 'would', 'good', 'provide', 'reworded', 'question', 'replace', 'problematic', 'questions', 'identified', '.', 'example', ',', 'could', 'work', 'q11', 'q13', '.']","suggestion suggested improvements , would good provide reworded question replace problematic questions identified . example , could work q11 q13 .",D,Pass,3,1
"Task 2, there is nothing wrong with the questions and its logical order. However, Q5 is a leading question. Thereby, instead of asking how dissatisfied are you with the approaches you could have asked what would you suggest to improve the University's current onboarding process.",Sensemaking 1,78.33,503,52,4.52,52,28,3,56.25,"['task', '2', ',', 'nothing', 'wrong', 'questions', 'logical', 'order', '.', 'however', ',', 'q5', 'leading', 'question', '.', 'thereby', ',', 'instead', 'asking', 'dissatisfied', 'approaches', 'could', 'asked', 'would', 'suggest', 'improve', 'university', ""'s"", 'current', 'onboarding', 'process', '.']","task 2 , nothing wrong questions logical order . however , q5 leading question . thereby , instead asking dissatisfied approaches could asked would suggest improve university 's current onboarding process .",D,Pass,6,1
"t is good that all your main questions, followup/probing questions do not include any problematic factors, and they are not sensitive or complex. However, there were some questions and cannot be considered as open questions which may lead to very short responses from the participants as you can see from your transcript. For example, if you closely look at your first half of the interview, almost all of the follow-up question were closed-ended and you've got only short answers and you couldnt dig deeper in to it.",Sensemaking 1,78.33,503,97,4.44,97,37,3,50.5,"['good', 'main', 'questions', ',', 'followup/probing', 'questions', 'include', 'problematic', 'factors', ',', 'sensitive', 'complex', '.', 'however', ',', 'questions', 'considered', 'open', 'questions', 'may', 'lead', 'short', 'responses', 'participants', 'see', 'transcript', '.', 'example', ',', 'closely', 'look', 'first', 'half', 'interview', ',', 'almost', 'follow-up', 'question', 'closed-ended', ""'ve"", 'got', 'short', 'answers', 'couldnt', 'dig', 'deeper', '.']","good main questions , followup/probing questions include problematic factors , sensitive complex . however , questions considered open questions may lead short responses participants see transcript . example , closely look first half interview , almost follow-up question closed-ended 've got short answers couldnt dig deeper .",D,Pass,6,1
"Also, it is better to summarise the responses of the interviewee at times to confirm what you heard when they make a point/argument on a given factor.",Impact 1,78.33,503,29,4.28,29,14,1,52.53,"['also', ',', 'better', 'summarise', 'responses', 'interviewee', 'times', 'confirm', 'heard', 'make', 'point/argument', 'given', 'factor', '.']","also , better summarise responses interviewee times confirm heard make point/argument given factor .",D,Pass,3,1
"Also, you tried to clarify their responses to ask follow up questions and provided an intelligent transcript",Impact 1,78.33,503,18,5.11,18,11,1,37.3,"['also', ',', 'tried', 'clarify', 'responses', 'ask', 'follow', 'questions', 'provided', 'intelligent', 'transcript']","also , tried clarify responses ask follow questions provided intelligent transcript",D,Pass,3,1
"The aim of conducting these interviews were to identify hidden insights of the university onboarding process and challenges in it. However, I dont see how the introductory code would fit in here, as we couldnt get any information from this code in term of the research.",Sensemaking 1,78.33,503,50,4.48,50,24,2,56.59,"['aim', 'conducting', 'interviews', 'identify', 'hidden', 'insights', 'university', 'onboarding', 'process', 'challenges', '.', 'however', ',', 'dont', 'see', 'introductory', 'code', 'would', 'fit', ',', 'couldnt', 'get', 'information', 'code', 'term', 'research', '.']","aim conducting interviews identify hidden insights university onboarding process challenges . however , dont see introductory code would fit , couldnt get information code term research .",D,Pass,6,1
"Also, most of the codes you created for task 2 were semantic codes, not latent ones.",Sensemaking 1,78.33,503,19,3.63,19,10,1,72.16,"['also', ',', 'codes', 'created', 'task', '2', 'semantic', 'codes', ',', 'latent', 'ones', '.']","also , codes created task 2 semantic codes , latent ones .",D,Pass,6,1
"In addition, the code description is not detailed enough to depict the importance of this code.",Sensemaking 1,78.33,503,18,4.44,18,9,1,63.7,"['addition', ',', 'code', 'description', 'detailed', 'enough', 'depict', 'importance', 'code', '.']","addition , code description detailed enough depict importance code .",D,Pass,6,1
"Furthermore, we expect you to include a high level justification for each theme. However, you failed to describe how the selected codes are relevant to your theme by taking for about 150 words each.",Sensemaking 1,78.33,503,38,4.34,38,18,2,62.68,"['furthermore', ',', 'expect', 'include', 'high', 'level', 'justification', 'theme', '.', 'however', ',', 'failed', 'describe', 'selected', 'codes', 'relevant', 'theme', 'taking', '150', 'words', '.']","furthermore , expect include high level justification theme . however , failed describe selected codes relevant theme taking 150 words .",D,Pass,6,1
"You received 14 marks for Week 4, 18 marks for Week 5 and 15 marks for Week 6"" ",Sensemaking 2,78.33,503,20,3.1,20,11,1,95.51,"['received', '14', 'marks', 'week', '4', ',', '18', 'marks', 'week', '5', '15', 'marks', 'week', '6', ""''""]","received 14 marks week 4 , 18 marks week 5 15 marks week 6 ''",D,Pass,7,1
"You mentioned “Physical and psychological harm and abuse, informed consent, and vulnerable populations are all legal questions raised in this research study.” These are ethical dimensions, not ethical issues or legal questions. Didn’t distinguish issues from dimensions It’s hard to tell which one is the issue and which one is the dimension. Ethical Issues are specific ethical issues related to specific research projects and dimensions are the ethical standards that researchers should follow in order to avoid potential ethical issues and protect research participants. To improve your work, each ethical issue should be discussed at the beginning of each paragraph and then you could state which dimensions is associated with, so that readers could tell which one is an issue and which one is the associated dimension. Also, please use the words “dimension” and “issues” explicitly when describing them so that readers won’t be confused.",Sensemaking 1,80.0,504,168,4.75,168,55,5,33.58,"['mentioned', '“', 'physical', 'psychological', 'harm', 'abuse', ',', 'informed', 'consent', ',', 'vulnerable', 'populations', 'legal', 'questions', 'raised', 'research', 'study.', '”', 'ethical', 'dimensions', ',', 'ethical', 'issues', 'legal', 'questions', '.', '’', 'distinguish', 'issues', 'dimensions', '’', 'hard', 'tell', 'one', 'issue', 'one', 'dimension', '.', 'ethical', 'issues', 'specific', 'ethical', 'issues', 'related', 'specific', 'research', 'projects', 'dimensions', 'ethical', 'standards', 'researchers', 'follow', 'order', 'avoid', 'potential', 'ethical', 'issues', 'protect', 'research', 'participants', '.', 'improve', 'work', ',', 'ethical', 'issue', 'discussed', 'beginning', 'paragraph', 'could', 'state', 'dimensions', 'associated', ',', 'readers', 'could', 'tell', 'one', 'issue', 'one', 'associated', 'dimension', '.', 'also', ',', 'please', 'use', 'words', '“', 'dimension', '”', '“', 'issues', '”', 'explicitly', 'describing', 'readers', '’', 'confused', '.']","mentioned “ physical psychological harm abuse , informed consent , vulnerable populations legal questions raised research study. ” ethical dimensions , ethical issues legal questions . ’ distinguish issues dimensions ’ hard tell one issue one dimension . ethical issues specific ethical issues related specific research projects dimensions ethical standards researchers follow order avoid potential ethical issues protect research participants . improve work , ethical issue discussed beginning paragraph could state dimensions associated , readers could tell one issue one associated dimension . also , please use words “ dimension ” “ issues ” explicitly describing readers ’ confused .",HD,Pass,6,2
"You should pay attention to your academic writing. For example, “as a result” have been used twice in the last paragraph.",Impact 3,80.0,504,26,3.88,26,14,2,77.74,"['pay', 'attention', 'academic', 'writing', '.', 'example', ',', '“', 'result', '”', 'used', 'twice', 'last', 'paragraph', '.']","pay attention academic writing . example , “ result ” used twice last paragraph .",HD,Pass,5,2
"You mentioned """"The author of this paper discusses how mobile and social computing can be used to strengthen normal parent-child conversations, with clinical consequences for children with language delays."""" You have summarised the abstract of all papers only partially, and the summary should have contained more details of the paper you selected; By reading your summary, readers still have little information about what these papers are and the relevance with the paper in question.",Sensemaking 1,80.0,504,84,4.95,84,37,2,33.92,"['mentioned', '``', ""''"", 'author', 'paper', 'discusses', 'mobile', 'social', 'computing', 'used', 'strengthen', 'normal', 'parent-child', 'conversations', ',', 'clinical', 'consequences', 'children', 'language', 'delays', '.', ""''"", ""''"", 'summarised', 'abstract', 'papers', 'partially', ',', 'summary', 'contained', 'details', 'paper', 'selected', ';', 'reading', 'summary', ',', 'readers', 'still', 'little', 'information', 'papers', 'relevance', 'paper', 'question', '.']","mentioned `` '' author paper discusses mobile social computing used strengthen normal parent-child conversations , clinical consequences children language delays . '' '' summarised abstract papers partially , summary contained details paper selected ; reading summary , readers still little information papers relevance paper question .",HD,Pass,6,2
"You received 15.3 marks for Week 1 and 16.6 marks for Week 3."" ",Sensemaking 2,80.0,504,15,3.4,15,9,1,92.12,"['received', '15.3', 'marks', 'week', '1', '16.6', 'marks', 'week', '3', '.', ""''""]",received 15.3 marks week 1 16.6 marks week 3 . '',HD,Pass,7,2
The script uses appropriate language for the audience and does not presume either too much or too little pre-existing knowledge.,Sensemaking 1,83.33,505,21,5.19,21,12,1,42.72,"['script', 'uses', 'appropriate', 'language', 'audience', 'presume', 'either', 'much', 'little', 'pre-existing', 'knowledge', '.']",script uses appropriate language audience presume either much little pre-existing knowledge .,HD,Pass,6,2
"The visual used for each segment is well suited to the content and script, and is an appropriate way of communicating this to the audience",Sensemaking 1,83.33,505,26,4.38,26,12,1,54.56,"['visual', 'used', 'segment', 'well', 'suited', 'content', 'script', ',', 'appropriate', 'way', 'communicating', 'audience']","visual used segment well suited content script , appropriate way communicating audience",HD,Pass,6,2
well done!!!,Agency 2,83.33,505,5,2.2,5,3,2,120.21,"['well', 'done', '!', '!', '!']",well done ! ! !,HD,Pass,1,2
"You received 40 marks for Week 10 and 11 and 10 marks for Week 12"" ",Sensemaking 2,83.33,505,16,3.31,16,8,1,98.55,"['received', '40', 'marks', 'week', '10', '11', '10', 'marks', 'week', '12', ""''""]",received 40 marks week 10 11 10 marks week 12 '',HD,Pass,7,2
"Thanks for your response to this task, the box plot and the iqr value are correct; however, all other values are incorrect. E.g., the values of standard deviations for population and sample ones are incorrect.",Sensemaking 1,56.67,506,41,4.27,41,20,2,53.71,"['thanks', 'response', 'task', ',', 'box', 'plot', 'iqr', 'value', 'correct', ';', 'however', ',', 'values', 'incorrect', '.', 'e.g.', ',', 'values', 'standard', 'deviations', 'population', 'sample', 'ones', 'incorrect', '.']","thanks response task , box plot iqr value correct ; however , values incorrect . e.g. , values standard deviations population sample ones incorrect .",P,Pass,6,4
"Also, we expected a better annotation in your matlab script (fully commented code) though you were allowed to use built-in functions in matlab to calculate the required parameters for the first three parts.",Sensemaking 1,56.67,506,37,4.7,37,24,1,37.98,"['also', ',', 'expected', 'better', 'annotation', 'matlab', 'script', '(', 'fully', 'commented', 'code', ')', 'though', 'allowed', 'use', 'built-in', 'functions', 'matlab', 'calculate', 'required', 'parameters', 'first', 'three', 'parts', '.']","also , expected better annotation matlab script ( fully commented code ) though allowed use built-in functions matlab calculate required parameters first three parts .",P,Pass,6,4
"Also, you missed fully annotating the box plot (X and Y axes, a title for the plot, outliers, min-max, quartiles, etc.). We expected you to use built-in functions in matlab to annotate the items you have missed on your plot.",Sensemaking 1,56.67,506,50,3.7,51,24,2,68.1,"['also', ',', 'missed', 'fully', 'annotating', 'box', 'plot', '(', 'x', 'axes', ',', 'title', 'plot', ',', 'outliers', ',', 'min-max', ',', 'quartiles', ',', 'etc.', ')', '.', 'expected', 'use', 'built-in', 'functions', 'matlab', 'annotate', 'items', 'missed', 'plot', '.']","also , missed fully annotating box plot ( x axes , title plot , outliers , min-max , quartiles , etc. ) . expected use built-in functions matlab annotate items missed plot .",P,Pass,6,4
