,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Rubric_new,Rubric_unq,RubricCount,Elements,ElementCount,WordCount
4832,"Tutor comment: Good documentation with proper structure and explanation. ---------------------------"" 77","Tutor comment: Good documentation with proper structure and explanation. ---------------------------"" ",Sensemaking 1,77,716,Agency1 Agency2 Impact1 Sensemaking1 Sensemaking1 Sensemaking1,Agency1 Agency2 Impact1 Sensemaking1,4,Agency Impact Sensemaking,3,10
4837,"Your Late Penalty marks: 10Your Final Mark (out of 100) is: 69"" 69","Your Late Penalty marks: 10Your Final Mark (out of 100) is: "" ",Sensemaking 2,69,717,Impact1 Agency1 Sensemaking1 Impact1 Impact1 Sensemaking2,Impact1 Agency1 Sensemaking1 Sensemaking2,4,Impact Agency Sensemaking,3,12
4847,"Documentation comments: Well Done"" 61","Documentation comments: Well Done"" ",Agency 2,61,718,Agency1 Agency2 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Sensemaking1 Agency1 Sensemaking1 Impact1 Impact1 Agency2,Agency1 Agency2 Impact1 Sensemaking1,4,Agency Impact Sensemaking,3,4
4856,Documentation comments: Well Done 91,Documentation comments: Well Done,Agency 2,91,719,Impact1 Agency1 Impact1 Sensemaking1 Impact1 Sensemaking2 Agency2 Sensemaking1 Agency1 Agency2 Agency2,Impact1 Agency1 Sensemaking1 Sensemaking2 Agency2,5,Impact Agency Sensemaking,3,4
4861,"Your Late Penalty marks: 0Your Final Mark (out of 100) is: 79"" 79","Your Late Penalty marks: 0Your Final Mark (out of 100) is: "" ",Sensemaking 2,79,720,Impact1 Agency1 Sensemaking1 Impact1 Sensemaking2,Impact1 Agency1 Sensemaking1 Sensemaking2,4,Impact Agency Sensemaking,3,12
4866,"Documentation comments: Well Done"" 55","Documentation comments: Well Done"" ",Agency 2,55,721,Sensemaking1 Impact1 Agency1 Impact1 Agency2,Sensemaking1 Impact1 Agency1 Agency2,4,Sensemaking Impact Agency,3,4
4870,"Your Late Penalty marks: 0Your Final Mark (out of 100) is: 92"" 92","Your Late Penalty marks: 0Your Final Mark (out of 100) is: "" ",Sensemaking 2,92,722,Impact1 Agency1 Impact1 Sensemaking2,Impact1 Agency1 Sensemaking2,3,Impact Agency Sensemaking,3,12
4892,"Q3VIIwell done"" 95","Q3VIIwell done"" ",Agency 2,95,723,Sensemaking1 Sensemaking1 Agency1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Agency2 Agency2 Agency2,Sensemaking1 Agency1 Impact1 Agency2,4,Sensemaking Agency Impact,3,2
4904,"Q3VIIgood try, however, you need more explanation on number of hidden neurons"" 92","Q3VIIgood try, however, you need more explanation on number of hidden neurons"" ",Agency 2&Impact 1,92,724,Sensemaking1 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Impact1 Agency2 Impact1,Sensemaking1 Agency2 Impact1,3,Sensemaking Agency Impact,3,12
4924,"Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" 83","Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" ",Impact 1,83,725,Agency2 Agency2 Sensemaking1 Agency2 Agency2 Agency2 Sensemaking1 Impact1 Agency2 Agency2 Sensemaking1 Agency2 Sensemaking1 Agency2 Sensemaking1 Impact1 Agency2 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Agency2 Agency2 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,15
4936,"Q3VIIdue to above issue, your conclusion is incorrect"" 86","Q3VIIdue to above issue, your conclusion is incorrect"" ",Sensemaking 1,86,726,Impact1 Sensemaking1 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Impact1 Agency2 Agency2 Agency2 Impact1 Sensemaking1,Impact1 Sensemaking1 Agency2,3,Impact Sensemaking Agency,3,8
4953,"Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" 82","Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" ",Impact 1,82,727,Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Impact1 Agency2 Agency2 Sensemaking1 Agency2 Impact1 Sensemaking1 Sensemaking1 Agency2 Agency2 Agency2 Impact1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,15
4972,"Q7c.3Not attempted"" 58","Q7c.3Not attempted"" ",Sensemaking 2,58,728,Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Agency2 Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Impact1 Agency2 Sensemaking1 Agency2 Sensemaking1 Sensemaking1 Agency2 Agency2 Sensemaking1 Sensemaking2 Sensemaking2 Sensemaking2,Sensemaking1 Agency2 Impact1 Sensemaking2,4,Sensemaking Agency Impact,3,2
4991,"Q7c.3good"" 80","Q7c.3good"" ",Agency 2,80,729,Agency2 Sensemaking1 Agency2 Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Sensemaking1 Sensemaking1 Impact1 Agency2 Sensemaking1 Sensemaking1 Agency2 Agency2 Agency2 Agency2,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,1
5006,"Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" 89","Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" ",Sensemaking 1,89,730,Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Agency2 Impact1 Sensemaking1 Agency2 Agency2 Agency2 Sensemaking1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,15
5018,"Q3VIIdid not answer it"" 68","Q3VIIdid not answer it"" ",Sensemaking 2,68,731,Sensemaking1 Sensemaking1 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Agency2 Impact1 Agency2 Impact1 Sensemaking2 Sensemaking2 Sensemaking2,Sensemaking1 Agency2 Impact1 Sensemaking2,4,Sensemaking Agency Impact,3,4
5030,"Q3VIIyou need to compare both of models"" 82","Q3VIIyou need to compare both of models"" ",Impact 1,82,732,Sensemaking1 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Agency2 Sensemaking2 Impact1,Sensemaking1 Agency2 Sensemaking2 Impact1,4,Sensemaking Agency Impact,3,7
5048,"Q7c.3Not attempted"" 54","Q7c.3Not attempted"" ",Sensemaking 2,54,733,Agency2 Sensemaking1 Agency2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Agency2 Sensemaking1 Agency2 Sensemaking1 Agency2 Sensemaking1 Sensemaking1 Impact1 Agency2 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking2 Sensemaking2,Agency2 Sensemaking1 Impact1 Sensemaking2,4,Agency Sensemaking Impact,3,2
5060,"Q3VIIgood try, however, you need more explanation on number of hidden neurons, and compare both of models"" 83","Q3VIIgood try, however, you need more explanation on number of hidden neurons, and compare both of models"" ",Agency 2&Impact 1,83,734,Sensemaking1 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Impact1 Agency2 Agency2 Sensemaking1 Impact1 Agency2 Impact1 Agency2 Agency2 Impact1 Agency2 Impact1,Sensemaking1 Agency2 Impact1,3,Sensemaking Agency Impact,3,17
5079,"Q7c.3Good"" 93","Q7c.3Good"" ",Agency 2,93,735,Agency2 Agency2 Agency2 Impact1 Agency2 Agency2 Sensemaking1 Sensemaking1 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Sensemaking1 Agency2 Impact1 Sensemaking1 Sensemaking1 Agency2 Agency2 Agency2 Agency2,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,1
5091,"Q3VIIdue to above issue, your conclusion is incorrect"" 70","Q3VIIdue to above issue, your conclusion is incorrect"" ",Sensemaking 1,70,736,Impact1 Sensemaking1 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Impact1 Agency2 Agency2 Sensemaking1 Agency2 Agency2 Agency2 Impact1 Sensemaking1,Impact1 Sensemaking1 Agency2,3,Impact Sensemaking Agency,3,8
5103,"Q3VIIdue to above issue, your analysis is slightly incorrect"" 80","Q3VIIdue to above issue, your analysis is slightly incorrect"" ",Sensemaking 1,80,737,Sensemaking1 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Impact2 Agency2 Impact1 Agency2 Agency2 Impact1 Sensemaking1,Sensemaking1 Agency2 Impact2 Impact1,4,Sensemaking Agency Impact,3,9
5121,"Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" 91","Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" ",Impact 1,91,738,Agency2 Agency2 Agency2 Impact1 Agency2 Agency2 Impact1 Agency2 Agency2 Impact1 Agency2 Agency2 Sensemaking1 Agency2 Impact1 Agency2 Agency2 Agency2 Agency2 Agency2 Impact1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,15
5134,"Q3VIIgood try, however, you need more explanation on number of hidden neurons"" 83","Q3VIIgood try, however, you need more explanation on number of hidden neurons"" ",Agency 2&Impact 1,83,739,Sensemaking1 Impact1 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Impact1 Agency2 Agency2 Impact1 Agency2 Impact1,Sensemaking1 Impact1 Agency2,3,Sensemaking Impact Agency,3,12
5154,"Q7c.3good"" 70","Q7c.3good"" ",Agency 2,70,740,Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Agency2 Impact1 Agency2 Agency2 Agency2 Impact1 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2,Sensemaking1 Agency2 Impact1,3,Sensemaking Agency Impact,3,1
5166,"Q3VIIdue to above issue, your conclusion is incorrect"" 92","Q3VIIdue to above issue, your conclusion is incorrect"" ",Sensemaking 1,92,741,Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Agency2 Sensemaking1 Agency2 Sensemaking1 Sensemaking1,Agency2 Sensemaking1,2,Agency Sensemaking,2,8
5178,"Q3VIIgood try, however, you need more explanation on number of hidden neurons"" 87","Q3VIIgood try, however, you need more explanation on number of hidden neurons"" ",Agency 2&Impact 1,87,742,Sensemaking1 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Impact1 Agency2 Sensemaking1 Agency2 Impact1 Agency2 Impact1,Sensemaking1 Agency2 Impact1,3,Sensemaking Agency Impact,3,12
5199,"Q7c.3good"" 83","Q7c.3good"" ",Agency 2,83,743,Agency2 Agency2 Sensemaking1 Sensemaking2 Agency2 Agency2 Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Agency2 Sensemaking1 Agency2 Sensemaking1 Agency2 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Agency2 Agency2 Agency2,Agency2 Sensemaking1 Sensemaking2 Impact1,4,Agency Sensemaking Impact,3,1
5218,"Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" 89","Q7c.3Needs more explanations in relation to model complexity and the fundamental concepts of each algorithm."" ",Impact 1,89,744,Agency2 Agency2 Sensemaking1 Agency2 Agency2 Agency2 Impact1 Impact1 Agency2 Agency2 Sensemaking1 Agency2 Sensemaking1 Agency2 Sensemaking1 Sensemaking1 Impact1 Agency2 Agency2 Agency2 Agency2 Agency2 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,15
5230,"Q3VIIgood try, however, you need more explanation on number of hidden neurons"" 87","Q3VIIgood try, however, you need more explanation on number of hidden neurons"" ",Agency 2&Impact 1,87,745,Sensemaking1 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Agency2 Sensemaking1 Agency2 Agency2 Impact1 Agency2 Impact1,Sensemaking1 Agency2 Impact1,3,Sensemaking Agency Impact,3,12
5233,"CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code(ex. get prediction). 2.lack of comments for functions functionality/ input and output for some functions."" 66.5","CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code(ex. get prediction). 2.lack of comments for functions functionality/ input and output for some functions."" ",Sensemaking 2&Impact 1,66.5,746,Sensemaking1 Impact1 Agency2 Sensemaking1 Impact1 Sensemaking2 Impact1,Sensemaking1 Impact1 Agency2 Sensemaking2,4,Sensemaking Impact Agency,3,43
5241,"PART 2 Report: Overall, you have done a good job! However, you have missed some important discussion: Lack of discussion about the comprehensibility of keywords (some keywords are not comprehensible);Haven't used articles as examples to illustrate key topics; Area need improvement: blurred figure"" 81","PART 2 Report: Overall, you have done a good job! However, you have missed some important discussion: Lack of discussion about the comprehensibility of keywords (some keywords are not comprehensible);Haven't used articles as examples to illustrate key topics; Area need improvement: blurred figure"" ",Sensemaking 2&Sensemaking 1,81,747,Sensemaking1 Agency2 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking2 Sensemaking1,Sensemaking1 Agency2 Sensemaking2 Impact1,4,Sensemaking Agency Impact,3,43
5247,"CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. model testing, hyperparmeters tuning)."" 86.32","CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. model testing, hyperparmeters tuning)."" ",Sensemaking 2&Impact 1,86.32,748,Sensemaking1 Impact1 Sensemaking1 Impact1 Agency2 Agency3 Sensemaking1 Impact1 Sensemaking2 Impact1,Sensemaking1 Impact1 Agency2 Agency3 Sensemaking2,5,Sensemaking Impact Agency,3,32
5252,"CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. hyperparmeters tuning)."" 76.5","CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. hyperparmeters tuning)."" ",Sensemaking 1&Impact 1,76.5,749,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1,Sensemaking1 Impact1,2,Sensemaking Impact,2,30
5261,"PART 2 Report: Overall, you have done a good job! However, you have missed some important discussion: Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles; The report is well-structured."" 84","PART 2 Report: Overall, you have done a good job! However, you have missed some important discussion: Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles; The report is well-structured."" ",Sensemaking 2&Impact 1,84,750,Agency2 Sensemaking2 Impact1 Agency2 Sensemaking2 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking2 Impact1,Agency2 Sensemaking2 Impact1 Sensemaking1,4,Agency Sensemaking Impact,3,36
5266,"CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code(ex. get prediction). 2.lack of comments for functions functionality/ input and output for some functions."" 70.95","CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code(ex. get prediction). 2.lack of comments for functions functionality/ input and output for some functions."" ",Sensemaking 1&Impact 1,70.95,751,Sensemaking1 Sensemaking1 Impact1 Impact1 Agency2 Sensemaking1 Impact1 Sensemaking1 Impact1,Sensemaking1 Impact1 Agency2,3,Sensemaking Impact Agency,3,43
5270,"CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code(ex. model testing). 2.lack of comments for functions functionality/ input and output for some functions."" 81.5","CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code(ex. model testing). 2.lack of comments for functions functionality/ input and output for some functions."" ",Sensemaking 1&Impact 1,81.5,752,Sensemaking1 Impact1 Agency2 Sensemaking1 Impact1 Agency2 Sensemaking1 Impact1,Sensemaking1 Impact1 Agency2,3,Sensemaking Impact Agency,3,43
5274,"CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: 1.lack of comments for functions functionality/ input and output for some functions. 2.there is a 'saved successfully' dialogue on every page of your output code pdf."" 84.86","CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: 1.lack of comments for functions functionality/ input and output for some functions. 2.there is a 'saved successfully' dialogue on every page of your output code pdf."" ",Sensemaking 1&Impact 1,84.86,753,Sensemaking1 Impact1 Agency2 Impact1 Agency2 Sensemaking1 Impact1,Sensemaking1 Impact1 Agency2,3,Sensemaking Impact Agency,3,43
5277,"CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code. 2.lack of comments for functions functionality/ input and output for some functions."" 78.5","CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code. 2.lack of comments for functions functionality/ input and output for some functions."" ",Sensemaking 1&Impact 1,78.5,754,Sensemaking1 Impact1 Agency2 Sensemaking1 Impact1 Sensemaking1 Impact1,Sensemaking1 Impact1 Agency2,3,Sensemaking Impact Agency,3,41
5280,"CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. get prediction). -lack of comments for functions functionality/ input and output for some functions."" 78","CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. get prediction). -lack of comments for functions functionality/ input and output for some functions."" ",Sensemaking 1&Impact 1,78,755,Sensemaking1 Impact1 Sensemaking2 Impact1 Sensemaking1 Impact1,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,42
5283,"CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code(ex. model training, hyper-tuning). 2.lack of comments for functions functionality/ input and output for some functions."" 74.45","CODE AND REPORT COMMENT: Overall, the code structure is good. But there are some improvements can be made: 1.It’s better to follow the modular principle when developing your code(ex. model training, hyper-tuning). 2.lack of comments for functions functionality/ input and output for some functions."" ",Sensemaking 1&Impact 1,74.45,756,Sensemaking2 Impact1 Agency2 Sensemaking1 Impact1 Sensemaking1 Impact1,Sensemaking2 Impact1 Agency2 Sensemaking1,4,Sensemaking Impact Agency,3,44
5291,"The report is well-structured."" 85","The report is well-structured."" ",Sensemaking 1,85,757,Sensemaking1 Impact1 Agency2 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking2 Sensemaking1 Sensemaking1,Sensemaking1 Impact1 Agency2 Sensemaking2,4,Sensemaking Impact Agency,3,4
5299,"PART 2 Report: Overall, you have done a good job! However, your report is too short and you have missed some important discussion: Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles; Areas need improvement: The report is too short"" 75.5","PART 2 Report: Overall, you have done a good job! However, your report is too short and you have missed some important discussion: Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles; Areas need improvement: The report is too short"" ",Sensemaking 2&Sensemaking 1,75.5,758,Sensemaking1 Impact1 Sensemaking1 Agency2 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking2 Impact1 Sensemaking2 Sensemaking1,Sensemaking1 Impact1 Agency2 Sensemaking2,4,Sensemaking Impact Agency,3,46
5309,"PART 2 Report: It's good. However, you have missed some important discussion: Haven't used articles as examples to illustrate key topics; Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles; Haven't used articles as examples to illustrate key topics; Lack of discussion about the comprehensibility of keywords (some keywords are not comprehensible); Area need improvement: No figures in your report to help you explain your analysis and findings; If you can separate you report into different parts and using sub-heading for each part. Your report will be much clearer;"" 55","PART 2 Report: It's good. However, you have missed some important discussion: Haven't used articles as examples to illustrate key topics; Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles; Haven't used articles as examples to illustrate key topics; Lack of discussion about the comprehensibility of keywords (some keywords are not comprehensible); Area need improvement: No figures in your report to help you explain your analysis and findings; If you can separate you report into different parts and using sub-heading for each part. Your report will be much clearer;"" ",Agency 2&Sensemaking 1&Impact 1,55,759,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Agency2 Sensemaking1 Impact1,Sensemaking1 Impact1 Sensemaking2 Agency2,4,Sensemaking Impact Agency,3,95
5312,"CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. get prediction)."" 50.82","CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. get prediction)."" ",Sensemaking 1&Impact 1,50.82,760,Sensemaking2 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1,Sensemaking2 Impact1 Sensemaking1,3,Sensemaking Impact,2,30
5321,"PART 2 Report: Amazing report! Area need improvement: No figures in your report to help you explain your analysis and findings; "" 83","PART 2 Report: Amazing report! Area need improvement: No figures in your report to help you explain your analysis and findings; "" ",Sensemaking 2&Sensemaking 1,83,761,Sensemaking2 Impact1 Agency2 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking2 Sensemaking1,Sensemaking2 Impact1 Agency2 Sensemaking1,4,Sensemaking Impact Agency,3,22
5325,"CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. hyperparmeters tuning)."" 51","CODE AND REPORT COMMENT: Overall, the code structure is good. there are some improvements can be made: -It’s better to follow the modular principle when developing your code(ex. hyperparmeters tuning)."" ",Sensemaking 1&Impact 1,51,762,Sensemaking1 Impact1 Agency2 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1,Sensemaking1 Impact1 Agency2,3,Sensemaking Impact Agency,3,30
5333,"The report is well-structured."" 79","The report is well-structured."" ",Sensemaking 1,79,763,Sensemaking2 Sensemaking1 Impact1 Agency2 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking2 Sensemaking1 Sensemaking1,Sensemaking2 Sensemaking1 Impact1 Agency2,4,Sensemaking Impact Agency,3,4
5342,"PART 2 Report: The report is too short. you have missed some important discussion:Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles; Lack of discussion about the comprehensibility of keywords (some keywords are not comprehensible);Haven't compared the result between using different data size (i.e., 1000 and 20000); Haven't used articles as examples to illustrate key topics; Area need improvement: The report is too short"" 59","PART 2 Report: The report is too short. you have missed some important discussion:Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles; Lack of discussion about the comprehensibility of keywords (some keywords are not comprehensible);Haven't compared the result between using different data size (i.e., 1000 and 20000); Haven't used articles as examples to illustrate key topics; Area need improvement: The report is too short"" ",Sensemaking 1,59,764,Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking1,Sensemaking2 Sensemaking1 Impact1,3,Sensemaking Impact,2,70
5349,"PART 2 Report: Overall, you have done a good job! However, you have missed some important discussion: Lack of discussion about the comprehensibility of keywords (some keywords are not comprehensible); The report is well-structured."" 78","PART 2 Report: Overall, you have done a good job! However, you have missed some important discussion: Lack of discussion about the comprehensibility of keywords (some keywords are not comprehensible); The report is well-structured."" ",Sensemaking 2&Sensemaking 1,78,765,Sensemaking2 Sensemaking1 Impact1 Agency2 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking2 Sensemaking1,Sensemaking2 Sensemaking1 Impact1 Agency2,4,Sensemaking Impact Agency,3,34
5356,"PART 2 Report: Overall, you have done a good job! However, you have missed some important discussion: 1. You haven't discussed the advantages and shortcoming of topi modelling for its role in groupings articles. The report is well-structured."" 78","PART 2 Report: Overall, you have done a good job! However, you have missed some important discussion: 1. You haven't discussed the advantages and shortcoming of topi modelling for its role in groupings articles. The report is well-structured."" ",Sensemaking 2&Impact 1,78,766,Sensemaking2 Sensemaking1 Impact1 Agency2 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking2 Impact1,Sensemaking2 Sensemaking1 Impact1 Agency2,4,Sensemaking Impact Agency,3,38
5361,"PART 2 Report: you have missed some important discussion: Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles;Lack of discussion about the comprehensibility of keywords;Haven't compared the result between using different data size (i.e., 1000 and 20000);Haven't used articles as examples to illustrate key topics; Area need improvement: No figures in your report to help you explain your analysis and findings; report formatting need improvement;"" 82","PART 2 Report: you have missed some important discussion: Haven't discussed the advantages and shortcoming of topic modelling for its role in groupings articles;Lack of discussion about the comprehensibility of keywords;Haven't compared the result between using different data size (i.e., 1000 and 20000);Haven't used articles as examples to illustrate key topics; Area need improvement: No figures in your report to help you explain your analysis and findings; report formatting need improvement;"" ",Sensemaking 1,82,767,Sensemaking2 Sensemaking1 Sensemaking1 Agency2 Impact1 Sensemaking1 Sensemaking1,Sensemaking2 Sensemaking1 Agency2 Impact1,4,Sensemaking Agency Impact,3,71
5364,"Task B:Apart from using for loop you can also use in to search for key in dictionary, e.g.if 'a' in a_dict: # if 'a' exists as a key in a_dict"" 100","Task B:Apart from using for loop you can also use in to search for key in dictionary, e.g.if 'a' in a_dict: # if 'a' exists as a key in a_dict"" ",Impact 1,100,768,Agency2 Sensemaking1 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,30
5365,The data type of `a_dictionary` has not been validated in Task B. 50,The data type of `a_dictionary` has not been validated in Task B.,Sensemaking 1,50,769,Sensemaking1,Sensemaking1,1,Sensemaking,1,12
5366,"""A: without 'quit', wrong output"" 100","""A: without 'quit', wrong output"" ",Sensemaking 1,100,770,Sensemaking1,Sensemaking1,1,Sensemaking,1,5
5367,Well done! 100,Well done!,Agency 2,100,771,Agency2,Agency2,1,Agency,1,2
5368,Well done! 100,Well done!,Agency 2,100,772,Agency2,Agency2,1,Agency,1,2
5371,"Task 2:Good job!"" 100","Task 2:Good job!"" ",Agency 2,100,773,Agency2 Impact1 Agency1 Agency2,Agency2 Impact1 Agency1,3,Agency Impact,2,3
5372,be careful about the high similarity 100,be careful about the high similarity,Impact 1,100,774,Impact1,Impact1,1,Impact,1,6
5373,"""Well done!However, you also have to attempt task A."" 50","""Well done!However, you also have to attempt task A."" ",Agency 2&Agency 1,50,775,Agency2 Agency1,Agency2 Agency1,2,Agency,1,9
5374,"""Well done!Task A: The approach works fine if we just want to know whether the value is found in the list. However, if we want to find the index of the value instead, then, it would be better to increase the value of i in each iteration."" 100","""Well done!Task A: The approach works fine if we just want to know whether the value is found in the list. However, if we want to find the index of the value instead, then, it would be better to increase the value of i in each iteration."" ",Agency 2&Sensemaking 1&Impact 1,100,776,Agency2 Sensemaking1 Impact1,Agency2 Sensemaking1 Impact1,3,Agency Sensemaking Impact,3,47
