,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode
4790,"Parsing Error: Error tokenizing data. C error: Expected 4 fields in line 124668, saw 5","Parsing Error: Error tokenizing data. C error: Expected 4 fields in line 124668, saw ",Sensemaking 1,35,710
4791,Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable),Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable),Agency 1,35,710
4792,Tutor Comment: Good effort for task 1,Tutor Comment: Good effort for task,Agency 2,35,710
4793,#NAME?,#NAME?,Sensemaking 1,35,710
4794,"1. should also use the double quation for the uuid, text, author and published while save the data to csv to avoid the content been splitted by comma","1. should also use the double quation for the uuid, text, author and published while save the data to csv to avoid the content been splitted by comma",Impact 1,35,710
4795,"2. should deal with those special characters before write to xml, and also it's not only one type of special characters","2. should deal with those special characters before write to xml, and also it's not only one type of special characters",Impact 1,35,710
4796,Tutor Comment: Good documentation,Tutor Comment: Good documentation,Sensemaking 1,35,710
4797,Parsing Error: [Errno 2] No such file or directory: 'student_output/30730856/30730856_countVec.txt',Parsing Error: [Errno 2] No such file or directory: 'student_output/30730856/30730856_countVec.txt',Sensemaking 1,35,710
4798,"Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other","Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other",Sensemaking 1,35,710
4799,"Tutor comment: Good documentation with proper structure and explanation.---------------------------"" 35","Tutor comment: Good documentation with proper structure and explanation.---------------------------"" ",Sensemaking 1,35,710
4800,"Task 1 Comments: Well Done. But only folder 2 was required as it contains train information. Because of this, the train ids are differently selected.","Task 1 Comments: Well Done. But only folder 2 was required as it contains train information. Because of this, the train ids are differently selected.",Agency 2&Sensemaking 1,68,711
4801,Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task,Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task,Agency 1,68,711
4802,Documentation comments: Well Done.,Documentation comments: Well Done.,Agency 2,68,711
4803,"Could have provided inline comments to explain the code."" 68","Could have provided inline comments to explain the code."" ",Sensemaking 1,68,711
4804,"Parsing Error: not well-formed (invalid token): line 7, column 4856Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable)","Parsing Error: not well-formed (invalid token): line 7, column 4856Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable)",Sensemaking 1&Agency 1,61,712
4805,Tutor Comment: Good effort for task 1,Tutor Comment: Good effort for task 1,Agency 2,61,712
4806,"- the code could be improved further in terms of efficiency and readability1. all the required text should be captured at one time, rather than capture it seperately e.g one for xml, one for csv 2. would be better to store the data into the different dictionary when you captured required content, and each dictionary contain only one uuid, author, published, text as the keys3.the way you wrote csv have some issue, All the text should be enclosed within double quotes (“ Text ”), otherwise comma will separate the text into another cell.","- the code could be improved further in terms of efficiency and readability1. all the required text should be captured at one time, rather than capture it seperately e.g one for xml, one for csv 2. would be better to store the data into the different dictionary when you captured required content, and each dictionary contain only one uuid, author, published, text as the keys3.the way you wrote csv have some issue, All the text should be enclosed within double quotes (“ Text ”), otherwise comma will separate the text into another cell.",Impact 1,61,712
4807,Tutor Comment: Good documentation,Tutor Comment: Good documentation,Sensemaking 1,61,712
4808,"Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other","Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other",Sensemaking 1,61,712
4809,"Tutor comment: Good documentation with proper structure and explanation.---------------------------"" 61","Tutor comment: Good documentation with proper structure and explanation.---------------------------"" ",Sensemaking 1,61,712
4810,"Parsing Error: Error tokenizing data. C error: Expected 6 fields in line 5, saw 7","Parsing Error: Error tokenizing data. C error: Expected 6 fields in line 5, saw 7",Sensemaking 1,16,713
4811,"Parsing Error: mismatched tag: line 163, column 50Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable)","Parsing Error: mismatched tag: line 163, column 50Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable)",Sensemaking 1&Agency 1,16,713
4812,"Tutor Comment: Good effort for task 1 - the code could be improved further in terms of efficiency and readability1. should use a loop to open all the files at once 2. You have used eval() function or treated the input data as dictionary to extract the information. We believe that, it is always good to think outside of the box and come up with the simplest correct solution. However, as stated in the assignment specs, one of the requirements of the assignment is to """"design an efficient regular expression to extract the information"""". Therefore, while we accept your output and do not deduct anymark from the output marks, you will loose the mark associated to designing the regex in the methodology section.3. should also use the double quation for the uuid, author, and oublished while save the data to csv to avoid the content been splitted by comma4. when write the file, should try to avoid open and close it multiple times","Tutor Comment: Good effort for task 1 - the code could be improved further in terms of efficiency and readability1. should use a loop to open all the files at once 2. You have used eval() function or treated the input data as dictionary to extract the information. We believe that, it is always good to think outside of the box and come up with the simplest correct solution. However, as stated in the assignment specs, one of the requirements of the assignment is to """"design an efficient regular expression to extract the information"""". Therefore, while we accept your output and do not deduct anymark from the output marks, you will loose the mark associated to designing the regex in the methodology section.3. should also use the double quation for the uuid, author, and oublished while save the data to csv to avoid the content been splitted by comma4. when write the file, should try to avoid open and close it multiple times",Agency 2&Impact 1,16,713
4813,Tutor Comment: Good documentation,Tutor Comment: Good documentation,Sensemaking 1,16,713
4814,"Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other","Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other",Sensemaking 1,16,713
4815,"Tutor comment: Good documentation with proper structure and explanation. Could have added summary & reference section.---------------------------"" 16","Tutor comment: Good documentation with proper structure and explanation. Could have added summary & reference section.---------------------------"" ",Sensemaking 1,16,713
4816,"Parsing Error: Error tokenizing data. C error: Expected 5 fields in line 6, saw 6","Parsing Error: Error tokenizing data. C error: Expected 5 fields in line , saw ",Sensemaking 1,56,714
4817,Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable),Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable),Agency 1,56,714
4818,23Tutor Comment: Good effort for task 1,23Tutor Comment: Good effort for task 1,Agency 2,56,714
4819,"- the code could be improved further in terms of efficiency and readability1. Regex used may not be enough to extract only required info - could be improved further by better use of capturing and non-capturing groups.2. the way you wrote csv have some issue, All the text should be enclosed within double quotes (“ Text ”), otherwise comma will separate the text into another cell.","- the code could be improved further in terms of efficiency and readability1. Regex used may not be enough to extract only required info - could be improved further by better use of capturing and non-capturing groups.2. the way you wrote csv have some issue, All the text should be enclosed within double quotes (“ Text ”), otherwise comma will separate the text into another cell.",Impact 1,56,714
4820,Tutor Comment: Good documentation,Tutor Comment: Good documentation,Sensemaking 1,56,714
4821,"Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other","Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other",Sensemaking 1,56,714
4822,"Tutor comment: Good documentation with proper structure and explanation. ---------------------------"" 56","Tutor comment: Good documentation with proper structure and explanation. ---------------------------"" ",Sensemaking 1,56,714
4823,"Task 1 Comments: Good work, But the calculation for travel min is wrong. The distance should be in kms not meters.","Task 1 Comments: Good work, But the calculation for travel min is wrong. The distance should be in kms not meters.",Agency 2&Sensemaking 1&Impact 1,46,715
4824,Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task 1,Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task 1,Agency 1,46,715
4825,"Task 2 Comments: Good work, should perform the EDA before and scaling/transformation","Task 2 Comments: Good work, should perform the EDA before and scaling/transformation",Agency 2&Impact 1,46,715
4826,"Documentation comments: Well Done"" 46","Documentation comments: Well Done"" ",Agency 2,46,715
4827,Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable),Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable),Agency 1,77,716
4828,Tutor Comment: Good effort for task 1,Tutor Comment: Good effort for task 1,Agency 2,77,716
4829,"- the code could be improved further in terms of efficiency and readability1. You have used eval() function or treated the input data as dictionary to extract the information. We believe that, it is always good to think outside of the box and come up with the simplest correct solution. However, as stated in the assignment specs, one of the requirements of the assignment is to """"design an efficient regular expression to extract the information"""". Therefore, while we accept your output and do not deduct anymark from the output marks, you will loose the mark associated to designing the regex in the methodology section.2. should also use the double quation for the uuid, and published while save the data to csv to avoid the content been splitted by comma","- the code could be improved further in terms of efficiency and readability1. You have used eval() function or treated the input data as dictionary to extract the information. We believe that, it is always good to think outside of the box and come up with the simplest correct solution. However, as stated in the assignment specs, one of the requirements of the assignment is to """"design an efficient regular expression to extract the information"""". Therefore, while we accept your output and do not deduct anymark from the output marks, you will loose the mark associated to designing the regex in the methodology section.2. should also use the double quation for the uuid, and published while save the data to csv to avoid the content been splitted by comma",Impact 1,77,716
4830,Tutor Comment: Good documentation.,Tutor Comment: Good documentation.,Sensemaking 1,77,716
4831,"Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other","Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other",Sensemaking 1,77,716
4832,"Tutor comment: Good documentation with proper structure and explanation. ---------------------------"" 77","Tutor comment: Good documentation with proper structure and explanation. ---------------------------"" ",Sensemaking 1,77,716
4833,"""General Feedback: To solve the assignment and achieve the correct output, students need to follow these steps:Dirty data:1) Use missing data with no missing value records (or cleaned dirty data) to find the items price list using linear system of equations (np.alg.solve). 2) Check that order_price matches shopping_cart and fix it if it doesn't match. 3) FIx the date to be in the DD/MM/YYYY format using strptime functions or other method. 4) Fix syntactic errors in customer lat and long (ecords where lat and lon are swapped). The specs mention that all the lats and longs are in Melbourne. 5) Based on customer lat and long, find the distance between the customer and the nearest storehouse (using Haversine distance) . Compare to given value and fix if needed. 6) Fix the time to be in the given format if needed. 7) Fix syntactic issues in parcel_size and check if there are semantic issues (if any) by maybe checking the cross-tab with shopping_cart size in either missing_data or outliers data.8) Fix storehouse id by checking the cross-tab between storehouse_id and nearest_storehouse in either missing_data or outliers data. 9) Verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction. (optional)Missing Data:10) Impute order_price based on shopping_cart and the obtained items price list. 11) Use the linear model to impute delivery_cost . The linear model should be fitted to predict delivery_cost based on season, nearest_storehouse, and distance. (season and storehouse should be converted to dummy variables first because they are categorical)Outlier Data:Many ways can be used, here is one possible recommended method:12) Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) 13) Use the linear model (trained earlier) to predict all delivery_costs and calculate the residuals 14) Use 2/3sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records.","""General Feedback: To solve the assignment and achieve the correct output, students need to follow these steps:Dirty data:1) Use missing data with no missing value records (or cleaned dirty data) to find the items price list using linear system of equations (np.alg.solve). 2) Check that order_price matches shopping_cart and fix it if it doesn't match. 3) FIx the date to be in the DD/MM/YYYY format using strptime functions or other method. 4) Fix syntactic errors in customer lat and long (ecords where lat and lon are swapped). The specs mention that all the lats and longs are in Melbourne. 5) Based on customer lat and long, find the distance between the customer and the nearest storehouse (using Haversine distance) . Compare to given value and fix if needed. 6) Fix the time to be in the given format if needed. 7) Fix syntactic issues in parcel_size and check if there are semantic issues (if any) by maybe checking the cross-tab with shopping_cart size in either missing_data or outliers data.8) Fix storehouse id by checking the cross-tab between storehouse_id and nearest_storehouse in either missing_data or outliers data. 9) Verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction. (optional)Missing Data:10) Impute order_price based on shopping_cart and the obtained items price list. 11) Use the linear model to impute delivery_cost . The linear model should be fitted to predict delivery_cost based on season, nearest_storehouse, and distance. (season and storehouse should be converted to dummy variables first because they are categorical)Outlier Data:Many ways can be used, here is one possible recommended method:12) Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) 13) Use the linear model (trained earlier) to predict all delivery_costs and calculate the residuals 14) Use 2/3sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records.",Impact 1,69,717
4834,Please refer to your HTML feedback report for a more detailed breakdown of the output marks,Please refer to your HTML feedback report for a more detailed breakdown of the output marks,Agency 1,69,717
4835,"Your tutor comments are: Dirty data:- could verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction.Outlier Data:- before deleting the outliers should concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier), then use another method to confirm those outliers e.g( use the linear models (trained earlier) to predict all delivery_costs and calculate the residuals )","Your tutor comments are: Dirty data:- could verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction.Outlier Data:- before deleting the outliers should concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier), then use another method to confirm those outliers e.g( use the linear models (trained earlier) to predict all delivery_costs and calculate the residuals )",Sensemaking 1&Impact 1,69,717
4836,Documentation: -could add more explanation regarding how to solve those issues rather than just provide the headings.,Documentation: -could add more explanation regarding how to solve those issues rather than just provide the headings.,Impact 1,69,717
4837,"Your Late Penalty marks: 10Your Final Mark (out of 100) is: 69"" 69","Your Late Penalty marks: 10Your Final Mark (out of 100) is: "" ",Sensemaking 2,69,717
4838,Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable),Please refer to HTML feedback file for more details about your CSV and XML mismatches (if file(s) are parsable),Agency 1,61,718
4839,Tutor Comment: Good effort for task 1,Tutor Comment: Good effort for task,Agency 2,61,718
4840,"the code could be improved further in terms of efficiency and readability1. You have used eval() function or treated the input data as dictionary to extract the information. We believe that, it is always good to think outside of the box and come up with the simplest correct solution. However, as stated in the assignment specs, one of the requirements of the assignment is to """"design an efficient regular expression to extract the information"""". Therefore, while we accept your output and do not deduct anymark from the output marks, you will loose the mark associated to designing the regex in the methodology section.2. should also use the double quation for the uuid, author, and oublished while save the data to csv to avoid the content been splitted by comma3. Non-English tweets should be removed after decoding the surrogate pairs.","the code could be improved further in terms of efficiency and readability1. You have used eval() function or treated the input data as dictionary to extract the information. We believe that, it is always good to think outside of the box and come up with the simplest correct solution. However, as stated in the assignment specs, one of the requirements of the assignment is to """"design an efficient regular expression to extract the information"""". Therefore, while we accept your output and do not deduct anymark from the output marks, you will loose the mark associated to designing the regex in the methodology section.2. should also use the double quation for the uuid, author, and oublished while save the data to csv to avoid the content been splitted by comma3. Non-English tweets should be removed after decoding the surrogate pairs.",Impact 1,61,718
4841,Tutor Comment: Good documentation,Tutor Comment: Good documentation,Sensemaking 1,61,718
4842,"Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other","Tutor Comment: Correct order for VOCAB and COUNTVEC: 1.Reading files with appropriate encoding 2.case normalisation 3.bigrams extraction using PMI assoc measure 4.stopword, rare tokens, length 3 (the order does not matter for these three) 5.stemming (not bigrams) 6.sparse file generation Correct order for """"100_UNI"""" file: 1.case normalisation 2.CI stopword, length 3 (the order does not matter for these three) 3.stemming Correct order for """"100_BI"""" file: 1.case normalisation 2.CI stopword, length 3, 3.bigrams calculation using ngrams() function. 4 Sorting using FreqDist or other",Sensemaking 1,61,718
4843,Tutor comment: Good documentation with proper structure and explanation.,Tutor comment: Good documentation with proper structure and explanation.,Sensemaking 1,61,718
4844,Task 1 Comments: Good job. However: - Only folder 2 was required as it contains train information.Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task 1,Task  Comments: Good job. However: - Only folder 2 was required as it contains train information.Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task 1,Agency 2&Sensemaking 1&Agency 1,61,718
4845,"Task 2 Comments: - did try to perform the EDA, but could improve by also checking the distribution/ score before and after the transformation","Task 2 Comments: - did try to perform the EDA, but could improve by also checking the distribution/ score before and after the transformation",Sensemaking 1&Impact 1,61,718
4846,should also use scaling to see the effects,should also use scaling to see the effects,Impact 1,61,718
4847,"Documentation comments: Well Done"" 61","Documentation comments: Well Done"" ",Agency 2,61,718
4848,"""General Feedback: To solve the assignment and achieve the correct output, students need to follow these steps:Dirty data:1) Use missing data with no missing value records (or cleaned dirty data) to find the items price list using linear system of equations (np.alg.solve). 2) Check that order_price matches shopping_cart and fix it if it doesn't match. 3) FIx the date to be in the DD/MM/YYYY format using strptime functions or other method. 4) Fix syntactic errors in customer lat and long (ecords where lat and lon are swapped). The specs mention that all the lats and longs are in Melbourne. 5) Based on customer lat and long, find the distance between the customer and the nearest storehouse (using Haversine distance) . Compare to given value and fix if needed. 6) Fix the time to be in the given format if needed. 7) Fix syntactic issues in parcel_size and check if there are semantic issues (if any) by maybe checking the cross-tab with shopping_cart size in either missing_data or outliers data.8) Fix storehouse id by checking the cross-tab between storehouse_id and nearest_storehouse in either missing_data or outliers data. 9) Verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction. (optional)Missing Data:10) Impute order_price based on shopping_cart and the obtained items price list. 11) Use the linear model to impute delivery_cost . The linear model should be fitted to predict delivery_cost based on season, nearest_storehouse, and distance. (season and storehouse should be converted to dummy variables first because they are categorical)Outlier Data:Many ways can be used, here is one possible recommended method:12) Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) 13) Use the linear model (trained earlier) to predict all delivery_costs and calculate the residuals 14) Use 2/3sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records.","""General Feedback: To solve the assignment and achieve the correct output, students need to follow these steps:Dirty data:1) Use missing data with no missing value records (or cleaned dirty data) to find the items price list using linear system of equations (np.alg.solve). 2) Check that order_price matches shopping_cart and fix it if it doesn't match. 3) FIx the date to be in the DD/MM/YYYY format using strptime functions or other method. 4) Fix syntactic errors in customer lat and long (ecords where lat and lon are swapped). The specs mention that all the lats and longs are in Melbourne. 5) Based on customer lat and long, find the distance between the customer and the nearest storehouse (using Haversine distance) . Compare to given value and fix if needed. 6) Fix the time to be in the given format if needed. 7) Fix syntactic issues in parcel_size and check if there are semantic issues (if any) by maybe checking the cross-tab with shopping_cart size in either missing_data or outliers data.8) Fix storehouse id by checking the cross-tab between storehouse_id and nearest_storehouse in either missing_data or outliers data. 9) Verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction. (optional)Missing Data:10) Impute order_price based on shopping_cart and the obtained items price list. 11) Use the linear model to impute delivery_cost . The linear model should be fitted to predict delivery_cost based on season, nearest_storehouse, and distance. (season and storehouse should be converted to dummy variables first because they are categorical)Outlier Data:Many ways can be used, here is one possible recommended method:12) Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) 13) Use the linear model (trained earlier) to predict all delivery_costs and calculate the residuals 14) Use 2/3sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records.",Impact 1,91,719
4849,Please refer to your HTML feedback report for a more detailed breakdown of the output marks,Please refer to your HTML feedback report for a more detailed breakdown of the output marks,Agency 1,91,719
4850,"Your tutor comments are: For Dirty data, - """"Time"""" column, the condition should be &gt;24 not &gt;=24, after 23:59:59, it will be 0:00:00, not 24:59:59","Your tutor comments are: For Dirty data, - """"Time"""" column, the condition should be &gt;24 not &gt;=24, after 23:59:59, it will be 0:00:00, not 24:59:59",Impact 1,91,719
4851,"""""isloyalProgram"""" is not check for errors.","""""isloyalProgram"""" is not check for errors.",Sensemaking 1,91,719
4852,"For Outlier data, - Could have combined all the data (cleaned_dirty, missing, outlier) to detect the outlier and then used the linear model for further detection.","For Outlier data, - Could have combined all the data (cleaned_dirty, missing, outlier) to detect the outlier and then used the linear model for further detection.",Impact 1,91,719
4853,"As a result of academic misconduct, the final mark changed to 0"" 0","As a result of academic misconduct, the final mark changed to "" ",Sensemaking 2,91,719
4854,Task 1 Comments: Well Done. But only folder 2 was required as it contains train information.Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task 1,Task  Comments: Well Done. But only folder 2 was required as it contains train information.Please refer to the HTML feedback file on Moodle for more detailed breakdown of your task 1,Agency 2&Sensemaking 1&Agency 1,91,719
4855,Task 2 Comments: Well Done,Task 2 Comments: Well Done,Agency 2,91,719
4856,Documentation comments: Well Done 91,Documentation comments: Well Done,Agency 2,91,719
4857,"""General Feedback: To solve the assignment and achieve the correct output, students need to follow these steps:Dirty data:1) Use missing data with no missing value records (or cleaned dirty data) to find the items price list using linear system of equations (np.alg.solve). 2) Check that order_price matches shopping_cart and fix it if it doesn't match. 3) FIx the date to be in the DD/MM/YYYY format using strptime functions or other method. 4) Fix syntactic errors in customer lat and long (ecords where lat and lon are swapped). The specs mention that all the lats and longs are in Melbourne. 5) Based on customer lat and long, find the distance between the customer and the nearest storehouse (using Haversine distance) . Compare to given value and fix if needed. 6) Fix the time to be in the given format if needed. 7) Fix syntactic issues in parcel_size and check if there are semantic issues (if any) by maybe checking the cross-tab with shopping_cart size in either missing_data or outliers data.8) Fix storehouse id by checking the cross-tab between storehouse_id and nearest_storehouse in either missing_data or outliers data. 9) Verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction. (optional)Missing Data:10) Impute order_price based on shopping_cart and the obtained items price list. 11) Use the linear model to impute delivery_cost . The linear model should be fitted to predict delivery_cost based on season, nearest_storehouse, and distance. (season and storehouse should be converted to dummy variables first because they are categorical)Outlier Data:Many ways can be used, here is one possible recommended method:12) Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) 13) Use the linear model (trained earlier) to predict all delivery_costs and calculate the residuals 14) Use 2/3sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records.","""General Feedback: To solve the assignment and achieve the correct output, students need to follow these steps:Dirty data:1) Use missing data with no missing value records (or cleaned dirty data) to find the items price list using linear system of equations (np.alg.solve). 2) Check that order_price matches shopping_cart and fix it if it doesn't match. 3) FIx the date to be in the DD/MM/YYYY format using strptime functions or other method. 4) Fix syntactic errors in customer lat and long (ecords where lat and lon are swapped). The specs mention that all the lats and longs are in Melbourne. 5) Based on customer lat and long, find the distance between the customer and the nearest storehouse (using Haversine distance) . Compare to given value and fix if needed. 6) Fix the time to be in the given format if needed. 7) Fix syntactic issues in parcel_size and check if there are semantic issues (if any) by maybe checking the cross-tab with shopping_cart size in either missing_data or outliers data.8) Fix storehouse id by checking the cross-tab between storehouse_id and nearest_storehouse in either missing_data or outliers data. 9) Verify that isLoyaltyProgram has no issues by checking the residuals of the linear models prediction. (optional)Missing Data:10) Impute order_price based on shopping_cart and the obtained items price list. 11) Use the linear model to impute delivery_cost . The linear model should be fitted to predict delivery_cost based on season, nearest_storehouse, and distance. (season and storehouse should be converted to dummy variables first because they are categorical)Outlier Data:Many ways can be used, here is one possible recommended method:12) Concatenate all three datasets into a single one (cleaned_dirty, imputed_missing, outlier) 13) Use the linear model (trained earlier) to predict all delivery_costs and calculate the residuals 14) Use 2/3sigma rule or 1.5 IQR on the residuals to identify and remove the outlier records.",Impact 1,79,720
4858,Please refer to your HTML feedback report for a more detailed breakdown of the output marks,Please refer to your HTML feedback report for a more detailed breakdown of the output marks,Agency 1,79,720
4859,Your tutor comments are: Missing data,Your tutor comments are: Missing data,Sensemaking 1,79,720
